name,team,hand,game,pa,atBat,hit,twoBaseHit,threeBaseHit,homerun,rbi,strikeOut
名前,チーム,右0/左1/両2,試合数,打席数,打数,安打,２塁打,３塁打,本塁打,打点,三振
淺間　大基,f,1,52,115,110,21,4,1,1,9,36
新垣　勇人,f,0,4,0,0,0,0,0,0,0,0
有原　航平,f,0,22,4,4,0,0,0,0,0,3
飯山　裕志,f,0,36,3,3,1,1,0,0,0,2
井口　和朋,f,0,37,0,0,0,0,0,0,0,0
石井　裕也,f,1,22,0,0,0,0,0,0,0,0
石川　慎吾,f,0,12,28,27,2,0,0,0,1,5
石川　直也,f,0,1,0,0,0,0,0,0,0,0
石川　亮,f,0,1,0,0,0,0,0,0,0,0
市川　友也,f,0,71,156,133,22,2,0,1,12,28
上原　健太,f,1,1,0,0,0,0,0,0,0,0
榎下　陽大,f,0,16,0,0,0,0,0,0,0,0
大嶋　匠,f,1,12,17,15,3,1,0,0,1,2
大谷　翔平,f,1,104,382,323,104,18,1,22,67,98
大野　奨太,f,0,109,351,282,69,13,0,5,35,63
大累　進,f,0,14,6,6,0,0,0,0,0,1
岡　大海,f,0,41,154,131,49,7,0,2,12,27
鍵谷　陽平,f,0,48,0,0,0,0,0,0,0,0
加藤　貴之,f,1,30,0,0,0,0,0,0,0,0
金平　将至,f,1,1,0,0,0,0,0,0,0,0
岸里　亮佑,f,1,1,0,0,0,0,0,0,0,0
近藤　健介,f,1,80,291,257,68,9,0,2,27,45
斎藤　佑樹,f,0,11,0,0,0,0,0,0,0,0
清水　優心,f,0,5,8,8,2,0,0,0,0,2
杉谷　拳士,f,2,62,138,104,25,5,1,0,9,23
瀬川　隼郎,f,1,1,0,0,0,0,0,0,0,0
高梨　裕稔,f,0,37,2,2,0,0,0,0,0,2
武田　久,f,1,5,0,0,0,0,0,0,0,0
武田　勝,f,1,1,0,0,0,0,0,0,0,0
田中　賢介,f,1,143,626,541,147,14,1,2,53,56
田中　豊樹,f,0,4,0,0,0,0,0,0,0,0
谷口　雄也,f,1,83,211,193,49,3,2,1,9,48
谷元　圭介,f,0,58,0,0,0,0,0,0,0,0
中島　卓也,f,1,143,600,473,115,10,1,0,28,117
中田　翔,f,0,141,624,569,142,26,1,25,110,126
中村　勝,f,0,2,0,0,0,0,0,0,0,0
西川　遥輝,f,1,138,593,493,155,18,4,5,43,113
バース,f,0,37,3,3,0,0,0,0,0,2
白村　明弘,f,1,22,0,0,0,0,0,0,0,0
藤岡　好明,f,1,1,0,0,0,0,0,0,0,0
マーティン,f,0,52,0,0,0,0,0,0,0,0
増井　浩俊,f,0,30,0,0,0,0,0,0,0,0
松本　剛,f,0,12,22,21,5,1,0,0,2,5
宮西　尚生,f,1,58,0,0,0,0,0,0,0,0
メンドーサ,f,0,23,4,3,0,0,0,0,0,3
矢野　謙次,f,0,34,35,29,6,2,0,1,8,5
陽　岱鋼,f,0,130,555,495,145,24,1,14,61,121
横尾　俊建,f,0,10,17,17,2,0,0,0,0,3
吉川　光夫,f,1,27,4,3,0,0,0,0,0,2
米野　智人,f,0,1,0,0,0,0,0,0,0,0
レアード,f,0,143,598,547,144,21,0,39,97,138
渡邉　諒,f,0,1,3,3,1,0,0,1,1,0
明石　健志,h,1,47,152,135,31,6,2,0,16,34
斐紹,h,1,13,31,26,6,1,0,0,1,8
飯田　優也,h,1,30,0,0,0,0,0,0,0,0
五十嵐　亮太,h,0,33,0,0,0,0,0,0,0,0
猪本　健太郎,h,0,5,10,8,0,0,0,0,0,5
今宮　健太,h,0,137,590,497,122,22,5,10,56,86
岩嵜　翔,h,0,35,1,1,0,0,0,0,0,1
上林　誠知,h,1,14,19,19,4,1,0,0,1,7
内川　聖一,h,0,141,605,556,169,19,0,18,106,53
江川　智晃,h,0,42,138,114,26,4,1,4,15,44
大隣　憲司,h,1,1,0,0,0,0,0,0,0,0
岡本　健,h,0,13,0,0,0,0,0,0,0,0
カニザレス,h,0,16,42,39,7,1,0,0,3,11
加治屋　蓮,h,0,2,0,0,0,0,0,0,0,0
金子　圭輔,h,2,10,5,5,0,0,0,0,0,4
釜元　豪,h,1,1,1,1,0,0,0,0,0,1
嘉弥真　新也,h,1,5,0,0,0,0,0,0,0,0
