竹下　真吾, (ヤ), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
鈴木　優, (オ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率33.75, 勝率0.000
大隣　憲司, (ソ), 左投げ, 1試合, 1勝, 0敗, 0セーブ, 0HP, 防御率1.50, 勝率1.000
大田　阿斗里, (オ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
八木　亮祐, (オ), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
藤岡　好明, (日), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
八木　亮祐, (ヤ), 左投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率12.00, 勝率0.000
金森　敬之, (ロ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率36.00, 勝率0.000
近藤　大亮, (オ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
木谷　良平, (ヤ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
望月　惇志, (神), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
平良　拳太郎, (巨), 右投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率9.82, 勝率0.000
山内　壮馬, (楽), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
松坂　大輔, (ソ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率18.00, 勝率0.000
桜井　俊貴, (巨), 右投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.31, 勝率0.000
青山　大紀, (オ), 右投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率6.75, 勝率0.000
齋藤　綱記, (オ), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
松本　裕樹, (ソ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
筒井　和也, (神), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
国吉　佑樹, (デ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率21.60, 勝率0.000
濱田　達郎, (中), 左投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率15.75, 勝率0.000
小林　寛, (デ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
金平　将至, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
金子　丈, (中), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率18.00, 勝率0.000
雄太, (中), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
久本　祐一, (広), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率45.00, 勝率0.000
八木　智哉, (中), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率1.50, 勝率0.000
上原　健太, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.00, 勝率0.000
石川　直也, (日), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.00, 勝率0.000
岩田　慎司, (中), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
加藤　正志, (楽), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率18.00, 勝率0.000
武田　勝, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
瀬川　隼郎, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
デラバー, (広), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
宮_　敦次, (ロ), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
飯田　哲矢, (広), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
金　無英, (楽), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 1HP, 防御率4.50, 勝率0.000
岩尾　利弘, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
柳瀬　明宏, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
中川　皓太, (巨), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
武藤　好貴, (楽), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
長谷部　康平, (楽), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率11.57, 勝率0.000
佐藤　祥万, (広), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率7.71, 勝率0.000
鶴　直人, (神), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率7.71, 勝率0.000
中村　勝, (日), 右投げ, 2試合, 0勝, 1敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
角屋　龍太, (オ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率11.57, 勝率0.000
