筒香　嘉智, (デ), 左打ち, 133試合, 打率0.322, 561打席, 151安打, 44本塁打, 110打点, 105三振, 長打率0.680
レアード, (日), 右打ち, 143試合, 打率0.263, 598打席, 144安打, 39本塁打, 97打点, 138三振, 長打率0.516
山田　哲人, (ヤ), 右打ち, 133試合, 打率0.304, 590打席, 146安打, 38本塁打, 102打点, 101三振, 長打率0.607
メヒア, (西), 右打ち, 137試合, 打率0.252, 583打席, 129安打, 35本塁打, 103打点, 148三振, 長打率0.509
ロペス, (デ), 右打ち, 123試合, 打率0.263, 518打席, 127安打, 34本塁打, 95打点, 75三振, 長打率0.534
バレンティン, (ヤ), 右打ち, 132試合, 打率0.269, 537打席, 123安打, 31本塁打, 96打点, 116三振, 長打率0.516
鈴木　誠也, (広), 右打ち, 129試合, 打率0.335, 528打席, 156安打, 29本塁打, 95打点, 79三振, 長打率0.612
ウィーラー, (楽), 右打ち, 140試合, 打率0.265, 589打席, 137安打, 27本塁打, 88打点, 123三振, 長打率0.478
松田　宣浩, (ソ), 右打ち, 143試合, 打率0.259, 609打席, 142安打, 27本塁打, 85打点, 141三振, 長打率0.467
中田　翔, (日), 右打ち, 141試合, 打率0.250, 624打席, 142安打, 25本塁打, 110打点, 126三振, 長打率0.431
村田　修一, (巨), 右打ち, 143試合, 打率0.302, 576打席, 160安打, 25本塁打, 81打点, 83三振, 長打率0.505
浅村　栄斗, (西), 右打ち, 143試合, 打率0.309, 611打席, 172安打, 24本塁打, 82打点, 108三振, 長打率0.510
ギャレット, (巨), 左打ち, 123試合, 打率0.258, 465打席, 109安打, 24本塁打, 68打点, 106三振, 長打率0.486
デスパイネ, (ロ), 右打ち, 134試合, 打率0.280, 570打席, 139安打, 24本塁打, 92打点, 89三振, 長打率0.480
坂本　勇人, (巨), 右打ち, 137試合, 打率0.344, 576打席, 168安打, 23本塁打, 75打点, 67三振, 長打率0.555
ビシエド, (中), 右打ち, 119試合, 打率0.274, 471打席, 114安打, 22本塁打, 68打点, 68三振, 長打率0.486
大谷　翔平, (日), 左打ち, 104試合, 打率0.322, 382打席, 104安打, 22本塁打, 67打点, 98三振, 長打率0.588
ゴメス, (神), 右打ち, 139試合, 打率0.255, 554打席, 127安打, 22本塁打, 79打点, 130三振, 長打率0.428
エルドレッド, (広), 右打ち, 95試合, 打率0.294, 354打席, 93安打, 21本塁打, 53打点, 86三振, 長打率0.538
中村　剛也, (西), 右打ち, 108試合, 打率0.238, 432打席, 92安打, 21本塁打, 61打点, 125三振, 長打率0.447
丸　佳浩, (広), 左打ち, 143試合, 打率0.291, 652打席, 162安打, 20本塁打, 90打点, 107三振, 長打率0.481
Ｔ−岡田, (オ), 左打ち, 123試合, 打率0.284, 513打席, 129安打, 20本塁打, 76打点, 105三振, 長打率0.471
新井　貴浩, (広), 右打ち, 132試合, 打率0.300, 513打席, 136安打, 19本塁打, 101打点, 101三振, 長打率0.485
内川　聖一, (ソ), 右打ち, 141試合, 打率0.304, 605打席, 169安打, 18本塁打, 106打点, 53三振, 長打率0.435
柳田　悠岐, (ソ), 左打ち, 120試合, 打率0.306, 536打席, 131安打, 18本塁打, 73打点, 97三振, 長打率0.523
梶谷　隆幸, (デ), 左打ち, 107試合, 打率0.273, 450打席, 108安打, 18本塁打, 56打点, 110三振, 長打率0.480
糸井　嘉男, (オ), 左打ち, 143試合, 打率0.306, 616打席, 163安打, 17本塁打, 70打点, 84三振, 長打率0.451
山川　穂高, (西), 右打ち, 49試合, 打率0.259, 157打席, 36安打, 14本塁打, 32打点, 36三振, 長打率0.590
平田　良介, (中), 右打ち, 118試合, 打率0.248, 494打席, 103安打, 14本塁打, 73打点, 89三振, 長打率0.411
