濱田　達郎, (中), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
植田　海, (神), 両打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金平　将至, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小宮山　慎二, (神), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武田　勝, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤岡　好明, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岸里　亮佑, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小林　寛, (デ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩田　慎司, (中), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
平良　拳太郎, (巨), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
青山　大紀, (オ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山内　壮馬, (楽), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
久本　祐一, (広), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
廣瀬　純, (広), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
竹下　真吾, (ヤ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
船越　涼太, (広), 右打ち, 1試合, 打率1.000, 1打席, 1安打, 0本塁打, 0打点, 0三振, 長打率1.000
八木　亮祐, (オ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大隣　憲司, (ソ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
加藤　正志, (楽), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
渡邉　諒, (日), 右打ち, 1試合, 打率0.333, 3打席, 1安打, 1本塁打, 1打点, 0三振, 長打率1.333
米野　智人, (日), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　裕樹, (ソ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
釜元　豪, (ソ), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
松坂　大輔, (ソ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
塚田　正義, (ソ), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
白濱　裕太, (広), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
