丸　佳浩, (広), 左打ち, 143試合, 打率0.291, 652打席, 162安打, 20本塁打, 90打点, 107三振, 長打率0.481
田中　広輔, (広), 左打ち, 143試合, 打率0.265, 679打席, 154安打, 13本塁打, 39打点, 119三振, 長打率0.372
鈴木　大地, (ロ), 左打ち, 143試合, 打率0.285, 583打席, 143安打, 6本塁打, 61打点, 56三振, 長打率0.389
村田　修一, (巨), 右打ち, 143試合, 打率0.302, 576打席, 160安打, 25本塁打, 81打点, 83三振, 長打率0.505
長野　久義, (巨), 右打ち, 143試合, 打率0.283, 618打席, 163安打, 11本塁打, 42打点, 78三振, 長打率0.403
角中　勝也, (ロ), 左打ち, 143試合, 打率0.339, 607打席, 178安打, 8本塁打, 69打点, 64三振, 長打率0.461
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
中島　卓也, (日), 左打ち, 143試合, 打率0.243, 600打席, 115安打, 0本塁打, 28打点, 117三振, 長打率0.268
秋山　翔吾, (西), 左打ち, 143試合, 打率0.296, 671打席, 171安打, 11本塁打, 62打点, 103三振, 長打率0.422
浅村　栄斗, (西), 右打ち, 143試合, 打率0.309, 611打席, 172安打, 24本塁打, 82打点, 108三振, 長打率0.510
田中　賢介, (日), 左打ち, 143試合, 打率0.272, 626打席, 147安打, 2本塁打, 53打点, 56三振, 長打率0.312
糸井　嘉男, (オ), 左打ち, 143試合, 打率0.306, 616打席, 163安打, 17本塁打, 70打点, 84三振, 長打率0.451
レアード, (日), 右打ち, 143試合, 打率0.263, 598打席, 144安打, 39本塁打, 97打点, 138三振, 長打率0.516
松田　宣浩, (ソ), 右打ち, 143試合, 打率0.259, 609打席, 142安打, 27本塁打, 85打点, 141三振, 長打率0.467
中村　晃, (ソ), 左打ち, 143試合, 打率0.287, 612打席, 140安打, 7本塁打, 50打点, 53三振, 長打率0.377
鳥谷　敬, (神), 左打ち, 143試合, 打率0.236, 533打席, 106安打, 7本塁打, 36打点, 80三振, 長打率0.323
大島　洋平, (中), 左打ち, 143試合, 打率0.292, 656打席, 175安打, 3本塁打, 27打点, 69三振, 長打率0.382
坂口　智隆, (ヤ), 左打ち, 141試合, 打率0.295, 607打席, 155安打, 0本塁打, 39打点, 66三振, 長打率0.340
内川　聖一, (ソ), 右打ち, 141試合, 打率0.304, 605打席, 169安打, 18本塁打, 106打点, 53三振, 長打率0.435
菊池　涼介, (広), 右打ち, 141試合, 打率0.315, 640打席, 181安打, 13本塁打, 56打点, 106三振, 長打率0.432
倉本　寿彦, (デ), 左打ち, 141試合, 打率0.294, 566打席, 157安打, 1本塁打, 38打点, 98三振, 長打率0.343
