能見　篤史, (神), 左投げ, 26試合, 8勝, 12敗, 0セーブ, 1HP, 防御率3.67, 勝率0.400
山中　浩史, (ヤ), 右投げ, 22試合, 6勝, 12敗, 0セーブ, 0HP, 防御率3.54, 勝率0.333
井納　翔一, (デ), 右投げ, 23試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.50, 勝率0.389
メッセンジャー, (神), 右投げ, 28試合, 12勝, 11敗, 0セーブ, 0HP, 防御率3.01, 勝率0.522
藤浪　晋太郎, (神), 右投げ, 26試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.25, 勝率0.389
田口　麗斗, (巨), 左投げ, 26試合, 10勝, 10敗, 0セーブ, 0HP, 防御率2.72, 勝率0.000
大野　雄大, (中), 左投げ, 19試合, 7勝, 10敗, 0セーブ, 0HP, 防御率3.54, 勝率0.412
岩貞　祐太, (神), 左投げ, 25試合, 10勝, 9敗, 0セーブ, 0HP, 防御率2.90, 勝率0.526
小川　泰弘, (ヤ), 右投げ, 25試合, 8勝, 9敗, 0セーブ, 0HP, 防御率4.50, 勝率0.471
今永　昇太, (デ), 左投げ, 22試合, 8勝, 9敗, 0セーブ, 0HP, 防御率2.93, 勝率0.471
高木　勇人, (巨), 右投げ, 25試合, 5勝, 9敗, 0セーブ, 0HP, 防御率4.31, 勝率0.357
原　樹理, (ヤ), 右投げ, 13試合, 2勝, 8敗, 0セーブ, 0HP, 防御率5.91, 勝率0.200
若松　駿太, (中), 右投げ, 19試合, 7勝, 8敗, 0セーブ, 1HP, 防御率4.06, 勝率0.467
石川　雅規, (ヤ), 左投げ, 20試合, 8勝, 8敗, 0セーブ, 0HP, 防御率4.47, 勝率0.000
黒田　博樹, (広), 右投げ, 24試合, 10勝, 8敗, 0セーブ, 0HP, 防御率3.09, 勝率0.556
山井　大介, (中), 右投げ, 33試合, 1勝, 8敗, 0セーブ, 8HP, 防御率4.52, 勝率0.111
久保　康友, (デ), 右投げ, 15試合, 5勝, 8敗, 0セーブ, 0HP, 防御率3.55, 勝率0.385
バルデス, (中), 左投げ, 20試合, 6勝, 7敗, 0セーブ, 0HP, 防御率3.51, 勝率0.462
吉見　一起, (中), 右投げ, 21試合, 6勝, 7敗, 0セーブ, 0HP, 防御率3.08, 勝率0.462
ジョンソン, (広), 左投げ, 26試合, 15勝, 7敗, 0セーブ, 0HP, 防御率2.15, 勝率0.682
モスコーソ, (デ), 右投げ, 13試合, 5勝, 7敗, 0セーブ, 0HP, 防御率5.18, 勝率0.417
内海　哲也, (巨), 左投げ, 18試合, 9勝, 6敗, 0セーブ, 0HP, 防御率3.94, 勝率0.600
藤川　球児, (神), 右投げ, 43試合, 5勝, 6敗, 3セーブ, 14HP, 防御率4.60, 勝率0.455
大竹　寛, (巨), 右投げ, 17試合, 6勝, 6敗, 0セーブ, 0HP, 防御率3.55, 勝率0.000
小笠原　慎之介, (中), 左投げ, 15試合, 2勝, 6敗, 0セーブ, 0HP, 防御率3.36, 勝率0.250
山口　鉄也, (巨), 左投げ, 63試合, 1勝, 6敗, 1セーブ, 20HP, 防御率4.88, 勝率0.143
ジョーダン, (中), 左投げ, 22試合, 6勝, 6敗, 0セーブ, 0HP, 防御率4.24, 勝率0.000
ルーキ, (ヤ), 右投げ, 69試合, 6勝, 6敗, 0セーブ, 39HP, 防御率3.06, 勝率0.000
菅野　智之, (巨), 右投げ, 26試合, 9勝, 6敗, 0セーブ, 0HP, 防御率2.01, 勝率0.600
又吉　克樹, (中), 右投げ, 62試合, 6勝, 6敗, 0セーブ, 22HP, 防御率2.80, 勝率0.000
山_　康晃, (デ), 右投げ, 59試合, 2勝, 5敗, 33セーブ, 9HP, 防御率3.59, 勝率0.286
山口　俊, (デ), 右投げ, 19試合, 11勝, 5敗, 0セーブ, 0HP, 防御率2.86, 勝率0.688
デイビーズ, (ヤ), 右投げ, 15試合, 4勝, 5敗, 0セーブ, 0HP, 防御率4.39, 勝率0.444
岩崎　優, (神), 左投げ, 16試合, 3勝, 5敗, 0セーブ, 0HP, 防御率3.63, 勝率0.375
青柳　晃洋, (神), 右投げ, 13試合, 4勝, 5敗, 0セーブ, 0HP, 防御率3.29, 勝率0.444
ヘーゲンズ, (広), 右投げ, 50試合, 7勝, 5敗, 0セーブ, 24HP, 防御率2.92, 勝率0.583
秋吉　亮, (ヤ), 右投げ, 70試合, 3勝, 4敗, 19セーブ, 13HP, 防御率2.19, 勝率0.429
今村　猛, (広), 右投げ, 67試合, 3勝, 4敗, 2セーブ, 25HP, 防御率2.44, 勝率0.429
石田　健大, (デ), 左投げ, 25試合, 9勝, 4敗, 0セーブ, 0HP, 防御率3.12, 勝率0.692
中_　翔太, (広), 右投げ, 61試合, 3勝, 4敗, 34セーブ, 10HP, 防御率1.32, 勝率0.429
今村　信貴, (巨), 左投げ, 16試合, 3勝, 4敗, 0セーブ, 0HP, 防御率5.59, 勝率0.429
マシソン, (巨), 右投げ, 70試合, 8勝, 4敗, 1セーブ, 49HP, 防御率2.36, 勝率0.667
祖父江　大輔, (中), 右投げ, 46試合, 0勝, 4敗, 0セーブ, 12HP, 防御率3.14, 勝率0.000
ジャクソン, (広), 右投げ, 67試合, 5勝, 4敗, 0セーブ, 42HP, 防御率1.71, 勝率0.556
館山　昌平, (ヤ), 右投げ, 10試合, 1勝, 4敗, 0セーブ, 1HP, 防御率7.24, 勝率0.200
澤村　拓一, (巨), 右投げ, 63試合, 6勝, 4敗, 37セーブ, 10HP, 防御率2.66, 勝率0.600
三上　朋也, (デ), 右投げ, 59試合, 2勝, 4敗, 2セーブ, 34HP, 防御率2.61, 勝率0.333
田島　慎二, (中), 右投げ, 59試合, 3勝, 4敗, 17セーブ, 21HP, 防御率2.44, 勝率0.429
福井　優也, (広), 右投げ, 13試合, 5勝, 4敗, 0セーブ, 0HP, 防御率4.34, 勝率0.556
田中　健二朗, (デ), 左投げ, 61試合, 5勝, 3敗, 0セーブ, 28HP, 防御率2.45, 勝率0.625
三浦　大輔, (デ), 右投げ, 3試合, 0勝, 3敗, 0セーブ, 0HP, 防御率11.05, 勝率0.000
由規, (ヤ), 右投げ, 5試合, 2勝, 3敗, 0セーブ, 0HP, 防御率4.56, 勝率0.400
野村　祐輔, (広), 右投げ, 25試合, 16勝, 3敗, 0セーブ, 0HP, 防御率2.71, 勝率0.842
岡田　明丈, (広), 右投げ, 18試合, 4勝, 3敗, 0セーブ, 1HP, 防御率3.02, 勝率0.571
マテオ, (神), 右投げ, 52試合, 1勝, 3敗, 20セーブ, 8HP, 防御率1.80, 勝率0.250
ドリス, (神), 右投げ, 34試合, 3勝, 3敗, 8セーブ, 12HP, 防御率2.12, 勝率0.000
田原　誠次, (巨), 右投げ, 64試合, 4勝, 3敗, 0セーブ, 18HP, 防御率3.46, 勝率0.571
須田　幸太, (デ), 右投げ, 62試合, 5勝, 3敗, 0セーブ, 28HP, 防御率2.68, 勝率0.625
ポレダ, (巨), 左投げ, 5試合, 1勝, 3敗, 0セーブ, 0HP, 防御率4.00, 勝率0.250
村中　恭兵, (ヤ), 左投げ, 52試合, 7勝, 3敗, 0セーブ, 12HP, 防御率3.90, 勝率0.700
岩田　稔, (神), 左投げ, 6試合, 0勝, 3敗, 0セーブ, 0HP, 防御率8.85, 勝率0.000
ペトリック, (デ), 右投げ, 15試合, 3勝, 2敗, 0セーブ, 0HP, 防御率5.51, 勝率0.600
伊藤　準規, (中), 右投げ, 6試合, 1勝, 2敗, 0セーブ, 0HP, 防御率6.05, 勝率0.333
新垣　渚, (ヤ), 右投げ, 6試合, 1勝, 2敗, 0セーブ, 0HP, 防御率6.67, 勝率0.333
杉浦　稔大, (ヤ), 右投げ, 17試合, 3勝, 2敗, 0セーブ, 0HP, 防御率7.14, 勝率0.600
成瀬　善久, (ヤ), 左投げ, 22試合, 3勝, 2敗, 0セーブ, 0HP, 防御率5.60, 勝率0.600
ペレス, (ヤ), 左投げ, 19試合, 2勝, 2敗, 0セーブ, 3HP, 防御率8.02, 勝率0.000
古野　正人, (ヤ), 右投げ, 6試合, 0勝, 2敗, 0セーブ, 0HP, 防御率9.45, 勝率0.000
小熊　凌祐, (中), 右投げ, 14試合, 5勝, 2敗, 0セーブ, 1HP, 防御率2.80, 勝率0.714
福　敬登, (中), 左投げ, 27試合, 1勝, 2敗, 0セーブ, 5HP, 防御率4.78, 勝率0.333
横山　弘樹, (広), 右投げ, 6試合, 2勝, 2敗, 0セーブ, 0HP, 防御率5.47, 勝率0.000
ネイラー, (中), 右投げ, 7試合, 1勝, 2敗, 0セーブ, 0HP, 防御率4.62, 勝率0.333
マイコラス, (巨), 右投げ, 14試合, 4勝, 2敗, 0セーブ, 0HP, 防御率2.45, 勝率0.667
岩瀬　仁紀, (中), 左投げ, 15試合, 0勝, 2敗, 0セーブ, 2HP, 防御率6.10, 勝率0.000
福谷　浩司, (中), 右投げ, 41試合, 1勝, 2敗, 8セーブ, 9HP, 防御率4.05, 勝率0.333
砂田　毅樹, (デ), 左投げ, 17試合, 2勝, 2敗, 0セーブ, 1HP, 防御率3.78, 勝率0.000
九里　亜蓮, (広), 右投げ, 27試合, 2勝, 2敗, 0セーブ, 1HP, 防御率4.50, 勝率0.000
江柄子　裕樹, (巨), 右投げ, 2試合, 0勝, 1敗, 0セーブ, 0HP, 防御率7.27, 勝率0.000
平井　諒, (ヤ), 右投げ, 33試合, 1勝, 1敗, 0セーブ, 8HP, 防御率2.81, 勝率0.000
田面　巧二郎, (神), 右投げ, 4試合, 0勝, 1敗, 0セーブ, 1HP, 防御率6.23, 勝率0.000
高宮　和也, (神), 左投げ, 16試合, 0勝, 1敗, 0セーブ, 1HP, 防御率6.39, 勝率0.000
平良　拳太郎, (巨), 右投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率9.82, 勝率0.000
小山　雄輝, (巨), 右投げ, 9試合, 0勝, 1敗, 0セーブ, 1HP, 防御率4.85, 勝率0.000
桜井　俊貴, (巨), 右投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.31, 勝率0.000
一岡　竜司, (広), 右投げ, 27試合, 1勝, 1敗, 0セーブ, 6HP, 防御率1.82, 勝率0.000
中田　廉, (広), 右投げ, 8試合, 1勝, 1敗, 0セーブ, 2HP, 防御率16.62, 勝率0.000
中村　恭平, (広), 左投げ, 8試合, 1勝, 1敗, 0セーブ, 0HP, 防御率5.40, 勝率0.000
オンドルセク, (ヤ), 右投げ, 30試合, 3勝, 1敗, 11セーブ, 5HP, 防御率2.45, 勝率0.750
岩橋　慶侍, (ヤ), 左投げ, 14試合, 0勝, 1敗, 0セーブ, 1HP, 防御率7.24, 勝率0.000
守屋　功輝, (神), 右投げ, 4試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.64, 勝率0.000
薮田　和樹, (広), 右投げ, 16試合, 3勝, 1敗, 0セーブ, 1HP, 防御率2.61, 勝率0.750
寺田　哲也, (ヤ), 右投げ, 2試合, 0勝, 1敗, 0セーブ, 1HP, 防御率27.00, 勝率0.000
濱田　達郎, (中), 左投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率15.75, 勝率0.000
塹江　敦哉, (広), 左投げ, 3試合, 0勝, 1敗, 0セーブ, 0HP, 防御率11.37, 勝率0.000
_橋　聡文, (神), 左投げ, 54試合, 3勝, 1敗, 0セーブ, 23HP, 防御率3.76, 勝率0.750
小川　龍也, (中), 左投げ, 44試合, 1勝, 1敗, 0セーブ, 10HP, 防御率2.27, 勝率0.000
岡田　俊哉, (中), 左投げ, 57試合, 3勝, 1敗, 0セーブ, 16HP, 防御率3.20, 勝率0.750
秋山　拓巳, (神), 右投げ, 8試合, 1勝, 1敗, 0セーブ, 0HP, 防御率4.05, 勝率0.000
大瀬良　大地, (広), 右投げ, 17試合, 3勝, 1敗, 0セーブ, 7HP, 防御率3.32, 勝率0.750
三嶋　一輝, (デ), 右投げ, 4試合, 1勝, 1敗, 0セーブ, 0HP, 防御率3.75, 勝率0.000
福地　元春, (デ), 左投げ, 6試合, 0勝, 1敗, 0セーブ, 0HP, 防御率12.15, 勝率0.000
ザガースキー, (デ), 左投げ, 32試合, 3勝, 1敗, 0セーブ, 6HP, 防御率4.96, 勝率0.750
熊原　健人, (デ), 右投げ, 18試合, 1勝, 1敗, 0セーブ, 0HP, 防御率4.97, 勝率0.000
藤岡　好明, (デ), 右投げ, 9試合, 0勝, 1敗, 0セーブ, 2HP, 防御率1.13, 勝率0.000
安藤　優也, (神), 右投げ, 50試合, 0勝, 1敗, 0セーブ, 11HP, 防御率2.53, 勝率0.000
八木　亮祐, (ヤ), 左投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率12.00, 勝率0.000
榎田　大樹, (神), 左投げ, 35試合, 1勝, 1敗, 0セーブ, 4HP, 防御率4.31, 勝率0.000
サターホワイト, (神), 右投げ, 20試合, 1勝, 1敗, 0セーブ, 7HP, 防御率2.57, 勝率0.000
松岡　健一, (ヤ), 右投げ, 53試合, 2勝, 1敗, 0セーブ, 6HP, 防御率3.74, 勝率0.667
セプティモ, (中), 左投げ, 3試合, 0勝, 1敗, 0セーブ, 0HP, 防御率4.26, 勝率0.000
長谷川　潤, (巨), 右投げ, 3試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.53, 勝率0.000
宮國　椋丞, (巨), 右投げ, 34試合, 4勝, 1敗, 0セーブ, 10HP, 防御率2.95, 勝率0.800
阿知羅　拓馬, (中), 右投げ, 13試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.51, 勝率0.000
徳山　武陽, (ヤ), 右投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率12.46, 勝率0.000
武藤　祐太, (中), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.38, 勝率0.000
金子　丈, (中), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率18.00, 勝率0.000
八木　智哉, (中), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率1.50, 勝率0.000
佐藤　優, (中), 右投げ, 14試合, 1勝, 0敗, 0セーブ, 1HP, 防御率3.67, 勝率1.000
中島　彰吾, (ヤ), 右投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
雄太, (中), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
土肥　寛昌, (ヤ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率8.44, 勝率0.000
中澤　雅人, (ヤ), 左投げ, 19試合, 1勝, 0敗, 0セーブ, 1HP, 防御率3.54, 勝率1.000
岩田　慎司, (中), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
竹下　真吾, (ヤ), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
中川　皓太, (巨), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
西村　健太朗, (巨), 右投げ, 27試合, 0勝, 0敗, 0セーブ, 2HP, 防御率3.21, 勝率0.000
戸根　千明, (巨), 左投げ, 42試合, 1勝, 0敗, 1セーブ, 6HP, 防御率4.50, 勝率1.000
公文　克彦, (巨), 左投げ, 12試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.86, 勝率0.000
土田　瑞起, (巨), 右投げ, 7試合, 0勝, 0敗, 1セーブ, 0HP, 防御率6.48, 勝率0.000
メンドーサ, (巨), 右投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率11.25, 勝率0.000
加賀　繁, (デ), 右投げ, 26試合, 0勝, 0敗, 0セーブ, 6HP, 防御率5.40, 勝率0.000
国吉　佑樹, (デ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率21.60, 勝率0.000
長田　秀一郎, (デ), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
矢貫　俊之, (巨), 右投げ, 8試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.61, 勝率0.000
大原　慎司, (デ), 左投げ, 16試合, 0勝, 0敗, 0セーブ, 1HP, 防御率4.97, 勝率0.000
小野　淳平, (広), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率7.36, 勝率0.000
佐藤　祥万, (広), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率7.71, 勝率0.000
オスカル, (広), 左投げ, 23試合, 2勝, 0敗, 0セーブ, 3HP, 防御率6.35, 勝率1.000
飯田　哲矢, (広), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
江草　仁貴, (広), 左投げ, 8試合, 0勝, 0敗, 0セーブ, 1HP, 防御率6.00, 勝率0.000
デラバー, (広), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
久本　祐一, (広), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率45.00, 勝率0.000
乾　真大, (巨), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
西原　圭大, (広), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率12.60, 勝率0.000
戸田　隆矢, (広), 左投げ, 17試合, 4勝, 0敗, 1セーブ, 2HP, 防御率2.80, 勝率1.000
永川　勝浩, (広), 右投げ, 11試合, 2勝, 0敗, 0セーブ, 3HP, 防御率6.30, 勝率1.000
久保　裕也, (デ), 右投げ, 9試合, 0勝, 0敗, 0セーブ, 0HP, 防御率5.25, 勝率0.000
望月　惇志, (神), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
山本　翔也, (神), 左投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率5.40, 勝率0.000
松田　遼馬, (神), 右投げ, 22試合, 1勝, 0敗, 0セーブ, 2HP, 防御率1.00, 勝率1.000
鶴　直人, (神), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率7.71, 勝率0.000
福原　忍, (神), 右投げ, 9試合, 0勝, 0敗, 0セーブ, 4HP, 防御率5.06, 勝率0.000
横山　雄哉, (神), 左投げ, 3試合, 2勝, 0敗, 0セーブ, 0HP, 防御率2.93, 勝率1.000
久古　健太郎, (ヤ), 左投げ, 39試合, 0勝, 0敗, 1セーブ, 3HP, 防御率4.44, 勝率0.000
近藤　一樹, (ヤ), 右投げ, 8試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.18, 勝率0.000
木谷　良平, (ヤ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
石山　泰稚, (ヤ), 右投げ, 13試合, 1勝, 0敗, 0セーブ, 2HP, 防御率7.31, 勝率1.000
風張　蓮, (ヤ), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率8.10, 勝率0.000
平田　真吾, (デ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率21.60, 勝率0.000
ブロードウェイ, (デ), 右投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
野川　拓斗, (デ), 左投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.57, 勝率0.000
小杉　陽太, (デ), 右投げ, 20試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.71, 勝率0.000
小林　寛, (デ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
石崎　剛, (神), 右投げ, 10試合, 0勝, 0敗, 0セーブ, 3HP, 防御率1.69, 勝率0.000
島本　浩也, (神), 左投げ, 23試合, 1勝, 0敗, 0セーブ, 3HP, 防御率3.65, 勝率1.000
筒井　和也, (神), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
歳内　宏明, (神), 右投げ, 9試合, 0勝, 0敗, 0セーブ, 2HP, 防御率3.00, 勝率0.000
伊藤　和雄, (神), 右投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.45, 勝率0.000
金田　和之, (神), 右投げ, 6試合, 1勝, 0敗, 0セーブ, 1HP, 防御率6.00, 勝率1.000
