筒香　嘉智, (デ), 左打ち, 133試合, 打率0.322, 561打席, 151安打, 44本塁打, 110打点, 105三振, 長打率0.680
鈴木　誠也, (広), 右打ち, 129試合, 打率0.335, 528打席, 156安打, 29本塁打, 95打点, 79三振, 長打率0.612
山田　哲人, (ヤ), 右打ち, 133試合, 打率0.304, 590打席, 146安打, 38本塁打, 102打点, 101三振, 長打率0.607
坂本　勇人, (巨), 右打ち, 137試合, 打率0.344, 576打席, 168安打, 23本塁打, 75打点, 67三振, 長打率0.555
ロペス, (デ), 右打ち, 123試合, 打率0.263, 518打席, 127安打, 34本塁打, 95打点, 75三振, 長打率0.534
柳田　悠岐, (ソ), 左打ち, 120試合, 打率0.306, 536打席, 131安打, 18本塁打, 73打点, 97三振, 長打率0.523
バレンティン, (ヤ), 右打ち, 132試合, 打率0.269, 537打席, 123安打, 31本塁打, 96打点, 116三振, 長打率0.516
レアード, (日), 右打ち, 143試合, 打率0.263, 598打席, 144安打, 39本塁打, 97打点, 138三振, 長打率0.516
浅村　栄斗, (西), 右打ち, 143試合, 打率0.309, 611打席, 172安打, 24本塁打, 82打点, 108三振, 長打率0.510
メヒア, (西), 右打ち, 137試合, 打率0.252, 583打席, 129安打, 35本塁打, 103打点, 148三振, 長打率0.509
村田　修一, (巨), 右打ち, 143試合, 打率0.302, 576打席, 160安打, 25本塁打, 81打点, 83三振, 長打率0.505
ギャレット, (巨), 左打ち, 123試合, 打率0.258, 465打席, 109安打, 24本塁打, 68打点, 106三振, 長打率0.486
ビシエド, (中), 右打ち, 119試合, 打率0.274, 471打席, 114安打, 22本塁打, 68打点, 68三振, 長打率0.486
新井　貴浩, (広), 右打ち, 132試合, 打率0.300, 513打席, 136安打, 19本塁打, 101打点, 101三振, 長打率0.485
丸　佳浩, (広), 左打ち, 143試合, 打率0.291, 652打席, 162安打, 20本塁打, 90打点, 107三振, 長打率0.481
デスパイネ, (ロ), 右打ち, 134試合, 打率0.280, 570打席, 139安打, 24本塁打, 92打点, 89三振, 長打率0.480
梶谷　隆幸, (デ), 左打ち, 107試合, 打率0.273, 450打席, 108安打, 18本塁打, 56打点, 110三振, 長打率0.480
ウィーラー, (楽), 右打ち, 140試合, 打率0.265, 589打席, 137安打, 27本塁打, 88打点, 123三振, 長打率0.478
Ｔ−岡田, (オ), 左打ち, 123試合, 打率0.284, 513打席, 129安打, 20本塁打, 76打点, 105三振, 長打率0.471
松田　宣浩, (ソ), 右打ち, 143試合, 打率0.259, 609打席, 142安打, 27本塁打, 85打点, 141三振, 長打率0.467
角中　勝也, (ロ), 左打ち, 143試合, 打率0.339, 607打席, 178安打, 8本塁打, 69打点, 64三振, 長打率0.461
福留　孝介, (神), 左打ち, 131試合, 打率0.311, 523打席, 141安打, 11本塁打, 59打点, 78三振, 長打率0.453
糸井　嘉男, (オ), 左打ち, 143試合, 打率0.306, 616打席, 163安打, 17本塁打, 70打点, 84三振, 長打率0.451
内川　聖一, (ソ), 右打ち, 141試合, 打率0.304, 605打席, 169安打, 18本塁打, 106打点, 53三振, 長打率0.435
菊池　涼介, (広), 右打ち, 141試合, 打率0.315, 640打席, 181安打, 13本塁打, 56打点, 106三振, 長打率0.432
中田　翔, (日), 右打ち, 141試合, 打率0.250, 624打席, 142安打, 25本塁打, 110打点, 126三振, 長打率0.431
陽　岱鋼, (日), 右打ち, 130試合, 打率0.293, 555打席, 145安打, 14本塁打, 61打点, 121三振, 長打率0.430
ゴメス, (神), 右打ち, 139試合, 打率0.255, 554打席, 127安打, 22本塁打, 79打点, 130三振, 長打率0.428
秋山　翔吾, (西), 左打ち, 143試合, 打率0.296, 671打席, 171安打, 11本塁打, 62打点, 103三振, 長打率0.422
桑原　将志, (デ), 右打ち, 133試合, 打率0.284, 522打席, 131安打, 11本塁打, 49打点, 93三振, 長打率0.413
平田　良介, (中), 右打ち, 118試合, 打率0.248, 494打席, 103安打, 14本塁打, 73打点, 89三振, 長打率0.411
茂木　栄五郎, (楽), 左打ち, 117試合, 打率0.278, 481打席, 118安打, 7本塁打, 40打点, 95三振, 長打率0.408
長野　久義, (巨), 右打ち, 143試合, 打率0.283, 618打席, 163安打, 11本塁打, 42打点, 78三振, 長打率0.403
西川　遥輝, (日), 左打ち, 138試合, 打率0.314, 593打席, 155安打, 5本塁打, 43打点, 113三振, 長打率0.398
_山　俊, (神), 左打ち, 134試合, 打率0.275, 530打席, 136安打, 8本塁打, 65打点, 109三振, 長打率0.391
鈴木　大地, (ロ), 左打ち, 143試合, 打率0.285, 583打席, 143安打, 6本塁打, 61打点, 56三振, 長打率0.389
大島　洋平, (中), 左打ち, 143試合, 打率0.292, 656打席, 175安打, 3本塁打, 27打点, 69三振, 長打率0.382
中村　晃, (ソ), 左打ち, 143試合, 打率0.287, 612打席, 140安打, 7本塁打, 50打点, 53三振, 長打率0.377
田中　広輔, (広), 左打ち, 143試合, 打率0.265, 679打席, 154安打, 13本塁打, 39打点, 119三振, 長打率0.372
今宮　健太, (ソ), 右打ち, 137試合, 打率0.245, 590打席, 122安打, 10本塁打, 56打点, 86三振, 長打率0.370
栗山　巧, (西), 左打ち, 135試合, 打率0.279, 569打席, 133安打, 3本塁打, 41打点, 87三振, 長打率0.369
川端　慎吾, (ヤ), 左打ち, 103試合, 打率0.302, 458打席, 127安打, 1本塁打, 32打点, 31三振, 長打率0.367
堂上　直倫, (中), 右打ち, 131試合, 打率0.254, 507打席, 116安打, 6本塁打, 46打点, 69三振, 長打率0.362
岡島　豪郎, (楽), 左打ち, 127試合, 打率0.252, 485打席, 106安打, 6本塁打, 35打点, 49三振, 長打率0.345
倉本　寿彦, (デ), 左打ち, 141試合, 打率0.294, 566打席, 157安打, 1本塁打, 38打点, 98三振, 長打率0.343
坂口　智隆, (ヤ), 左打ち, 141試合, 打率0.295, 607打席, 155安打, 0本塁打, 39打点, 66三振, 長打率0.340
銀次, (楽), 左打ち, 125試合, 打率0.274, 497打席, 116安打, 2本塁打, 43打点, 49三振, 長打率0.333
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
鳥谷　敬, (神), 左打ち, 143試合, 打率0.236, 533打席, 106安打, 7本塁打, 36打点, 80三振, 長打率0.323
安達　了一, (オ), 右打ち, 118試合, 打率0.273, 488打席, 110安打, 1本塁打, 34打点, 53三振, 長打率0.323
藤田　一也, (楽), 左打ち, 120試合, 打率0.265, 449打席, 108安打, 0本塁打, 46打点, 44三振, 長打率0.321
田中　賢介, (日), 左打ち, 143試合, 打率0.272, 626打席, 147安打, 2本塁打, 53打点, 56三振, 長打率0.312
金子　侑司, (西), 両打ち, 129試合, 打率0.265, 520打席, 122安打, 1本塁打, 33打点, 69三振, 長打率0.311
小林　誠司, (巨), 右打ち, 129試合, 打率0.204, 458打席, 81安打, 4本塁打, 35打点, 76三振, 長打率0.269
中島　卓也, (日), 左打ち, 143試合, 打率0.243, 600打席, 115安打, 0本塁打, 28打点, 117三振, 長打率0.268
