レアード, (日), 右打ち, 143試合, 打率0.263, 598打席, 144安打, 39本塁打, 97打点, 138三振, 長打率0.516
メヒア, (西), 右打ち, 137試合, 打率0.252, 583打席, 129安打, 35本塁打, 103打点, 148三振, 長打率0.509
ウィーラー, (楽), 右打ち, 140試合, 打率0.265, 589打席, 137安打, 27本塁打, 88打点, 123三振, 長打率0.478
松田　宣浩, (ソ), 右打ち, 143試合, 打率0.259, 609打席, 142安打, 27本塁打, 85打点, 141三振, 長打率0.467
中田　翔, (日), 右打ち, 141試合, 打率0.250, 624打席, 142安打, 25本塁打, 110打点, 126三振, 長打率0.431
デスパイネ, (ロ), 右打ち, 134試合, 打率0.280, 570打席, 139安打, 24本塁打, 92打点, 89三振, 長打率0.480
浅村　栄斗, (西), 右打ち, 143試合, 打率0.309, 611打席, 172安打, 24本塁打, 82打点, 108三振, 長打率0.510
大谷　翔平, (日), 左打ち, 104試合, 打率0.322, 382打席, 104安打, 22本塁打, 67打点, 98三振, 長打率0.588
中村　剛也, (西), 右打ち, 108試合, 打率0.238, 432打席, 92安打, 21本塁打, 61打点, 125三振, 長打率0.447
Ｔ−岡田, (オ), 左打ち, 123試合, 打率0.284, 513打席, 129安打, 20本塁打, 76打点, 105三振, 長打率0.471
内川　聖一, (ソ), 右打ち, 141試合, 打率0.304, 605打席, 169安打, 18本塁打, 106打点, 53三振, 長打率0.435
柳田　悠岐, (ソ), 左打ち, 120試合, 打率0.306, 536打席, 131安打, 18本塁打, 73打点, 97三振, 長打率0.523
糸井　嘉男, (オ), 左打ち, 143試合, 打率0.306, 616打席, 163安打, 17本塁打, 70打点, 84三振, 長打率0.451
山川　穂高, (西), 右打ち, 49試合, 打率0.259, 157打席, 36安打, 14本塁打, 32打点, 36三振, 長打率0.590
陽　岱鋼, (日), 右打ち, 130試合, 打率0.293, 555打席, 145安打, 14本塁打, 61打点, 121三振, 長打率0.430
秋山　翔吾, (西), 左打ち, 143試合, 打率0.296, 671打席, 171安打, 11本塁打, 62打点, 103三振, 長打率0.422
長谷川　勇也, (ソ), 左打ち, 122試合, 打率0.271, 442打席, 105安打, 10本塁打, 51打点, 95三振, 長打率0.403
ペゲーロ, (楽), 左打ち, 51試合, 打率0.279, 200打席, 51安打, 10本塁打, 26打点, 67三振, 長打率0.492
ナバーロ, (ロ), 右打ち, 82試合, 打率0.217, 340打席, 62安打, 10本塁打, 44打点, 64三振, 長打率0.350
今宮　健太, (ソ), 右打ち, 137試合, 打率0.245, 590打席, 122安打, 10本塁打, 56打点, 86三振, 長打率0.370
吉田　正尚, (オ), 左打ち, 63試合, 打率0.290, 258打席, 67安打, 10本塁打, 34打点, 34三振, 長打率0.494
森　友哉, (西), 左打ち, 107試合, 打率0.292, 392打席, 102安打, 10本塁打, 46打点, 96三振, 長打率0.436
アマダー, (楽), 右打ち, 39試合, 打率0.258, 138打席, 34安打, 9本塁打, 19打点, 32三振, 長打率0.515
島内　宏明, (楽), 左打ち, 114試合, 打率0.287, 388打席, 98安打, 9本塁打, 41打点, 48三振, 長打率0.404
モレル, (オ), 右打ち, 94試合, 打率0.244, 348打席, 75安打, 8本塁打, 38打点, 88三振, 長打率0.364
中島　宏之, (オ), 右打ち, 96試合, 打率0.290, 347打席, 91安打, 8本塁打, 47打点, 54三振, 長打率0.439
角中　勝也, (ロ), 左打ち, 143試合, 打率0.339, 607打席, 178安打, 8本塁打, 69打点, 64三振, 長打率0.461
中村　晃, (ソ), 左打ち, 143試合, 打率0.287, 612打席, 140安打, 7本塁打, 50打点, 53三振, 長打率0.377
茂木　栄五郎, (楽), 左打ち, 117試合, 打率0.278, 481打席, 118安打, 7本塁打, 40打点, 95三振, 長打率0.408
鈴木　大地, (ロ), 左打ち, 143試合, 打率0.285, 583打席, 143安打, 6本塁打, 61打点, 56三振, 長打率0.389
城所　龍磨, (ソ), 左打ち, 84試合, 打率0.264, 162打席, 39安打, 6本塁打, 19打点, 45三振, 長打率0.439
