則本　昂大, (楽), 右投げ, 28試合, 11勝, 11敗, 0セーブ, 0HP, 防御率2.91, 勝率0.000
西　勇輝, (オ), 右投げ, 26試合, 10勝, 12敗, 0セーブ, 0HP, 防御率4.14, 勝率0.455
有原　航平, (日), 右投げ, 22試合, 11勝, 9敗, 0セーブ, 0HP, 防御率2.94, 勝率0.550
涌井　秀章, (ロ), 右投げ, 26試合, 10勝, 7敗, 0セーブ, 0HP, 防御率3.01, 勝率0.588
菊池　雄星, (西), 左投げ, 22試合, 12勝, 7敗, 0セーブ, 0HP, 防御率2.58, 勝率0.632
武田　翔太, (ソ), 右投げ, 27試合, 14勝, 8敗, 0セーブ, 0HP, 防御率2.95, 勝率0.636
大谷　翔平, (日), 右投げ, 21試合, 10勝, 4敗, 0セーブ, 1HP, 防御率1.86, 勝率0.714
石川　歩, (ロ), 右投げ, 23試合, 14勝, 5敗, 0セーブ, 0HP, 防御率2.16, 勝率0.737
和田　毅, (ソ), 左投げ, 24試合, 15勝, 5敗, 0セーブ, 0HP, 防御率3.04, 勝率0.750
増井　浩俊, (日), 右投げ, 30試合, 10勝, 3敗, 10セーブ, 5HP, 防御率2.44, 勝率0.769
千賀　滉大, (ソ), 右投げ, 25試合, 12勝, 3敗, 0セーブ, 0HP, 防御率2.61, 勝率0.800
高梨　裕稔, (日), 右投げ, 37試合, 10勝, 2敗, 0セーブ, 3HP, 防御率2.38, 勝率0.833
