小川　泰弘, (ヤ), 右投げ, 25試合, 8勝, 9敗, 0セーブ, 0HP, 防御率4.50, 勝率0.471
能見　篤史, (神), 左投げ, 26試合, 8勝, 12敗, 0セーブ, 1HP, 防御率3.67, 勝率0.400
井納　翔一, (デ), 右投げ, 23試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.50, 勝率0.389
藤浪　晋太郎, (神), 右投げ, 26試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.25, 勝率0.389
石田　健大, (デ), 左投げ, 25試合, 9勝, 4敗, 0セーブ, 0HP, 防御率3.12, 勝率0.692
黒田　博樹, (広), 右投げ, 24試合, 10勝, 8敗, 0セーブ, 0HP, 防御率3.09, 勝率0.556
メッセンジャー, (神), 右投げ, 28試合, 12勝, 11敗, 0セーブ, 0HP, 防御率3.01, 勝率0.522
岩貞　祐太, (神), 左投げ, 25試合, 10勝, 9敗, 0セーブ, 0HP, 防御率2.90, 勝率0.526
田口　麗斗, (巨), 左投げ, 26試合, 10勝, 10敗, 0セーブ, 0HP, 防御率2.72, 勝率0.000
野村　祐輔, (広), 右投げ, 25試合, 16勝, 3敗, 0セーブ, 0HP, 防御率2.71, 勝率0.842
ジョンソン, (広), 左投げ, 26試合, 15勝, 7敗, 0セーブ, 0HP, 防御率2.15, 勝率0.682
菅野　智之, (巨), 右投げ, 26試合, 9勝, 6敗, 0セーブ, 0HP, 防御率2.01, 勝率0.600
