name,team,hand,game,win,loss,save,hp,out,er
名前,チーム,利き腕,試合,勝,敗,セーブ,HP,アウト数,自責点
新垣　勇人,f,0,4,0,0,0,0,28,4
有原　航平,f,0,22,11,9,0,0,468,51
井口　和朋,f,0,37,0,1,0,4,126,18
石井　裕也,f,1,22,0,0,0,12,49,3
石川　直也,f,0,1,0,0,0,1,3,0
上原　健太,f,1,1,0,0,0,1,3,0
榎下　陽大,f,0,16,1,0,0,1,83,11
大谷　翔平,f,0,21,10,4,0,1,420,29
鍵谷　陽平,f,0,48,5,3,3,8,134,21
加藤　貴之,f,1,30,7,3,0,2,274,35
金平　将至,f,1,1,0,0,0,0,2,0
斎藤　佑樹,f,0,11,0,1,0,0,71,12
瀬川　隼郎,f,1,1,0,0,0,0,3,0
高梨　裕稔,f,0,37,10,2,0,3,329,29
武田　久,f,0,5,0,0,0,0,13,7
武田　勝,f,1,1,0,0,0,0,1,0
田中　豊樹,f,0,4,0,0,0,1,10,0
谷元　圭介,f,0,58,3,2,3,31,151,13
中村　勝,f,0,2,0,1,0,0,36,8
バース,f,0,37,8,8,0,8,311,42
白村　明弘,f,0,22,3,1,0,4,72,7
藤岡　好明,f,0,1,0,0,0,0,2,2
マーティン,f,0,52,2,0,21,21,152,6
増井　浩俊,f,0,30,10,3,10,5,243,22
宮西　尚生,f,1,58,3,1,2,42,142,8
メンドーサ,f,0,23,7,8,0,1,397,57
吉川　光夫,f,1,27,7,6,3,0,329,51
飯田　優也,h,1,30,1,0,0,5,123,15
五十嵐　亮太,h,0,33,0,1,0,7,82,11
岩嵜　翔,h,0,35,4,2,1,10,263,19
大隣　憲司,h,1,1,1,0,0,0,18,1
岡本　健,h,0,13,0,0,0,0,42,4
加治屋　蓮,h,0,2,0,0,0,0,6,1
嘉弥真　新也,h,1,5,0,0,0,0,22,7
サファテ,h,0,64,0,7,43,8,187,13
スアレス,h,0,58,2,6,1,28,161,19
攝津　正,h,0,7,2,2,0,0,111,23
千賀　滉大,h,0,25,12,3,0,0,507,49
武田　翔太,h,0,27,14,8,0,0,549,60
寺原　隼人,h,0,14,2,1,0,4,40,6
中田　賢一,h,0,17,7,3,0,0,269,30
バリオス,h,0,11,0,2,0,3,38,11
バンデンハーク,h,0,13,7,3,0,0,246,35
東浜　巨,h,0,23,9,6,0,0,405,45
松坂　大輔,h,0,1,0,0,0,0,3,2
松本　裕樹,h,0,1,0,0,0,0,3,1
森　唯斗,h,0,56,4,3,1,18,181,20
森福　允彦,h,1,50,2,1,0,18,81,6
柳瀬　明宏,h,0,2,0,0,0,0,6,1
山田　大樹,h,1,4,1,1,0,0,41,9
和田　毅,h,1,24,15,5,0,0,489,55
阿部　和成,m,0,13,0,0,0,0,52,9
イ・デウン,m,0,3,0,0,0,1,15,4
石川　歩,m,0,23,14,5,0,0,487,39
内　竜也,m,0,34,3,1,1,22,97,5
大谷　智久,m,0,32,1,3,0,14,94,12
大嶺　祐太,m,0,14,1,3,0,1,104,25
香月　良仁,m,0,11,0,0,0,1,32,10
金森　敬之,m,0,1,0,0,0,0,3,4
唐川　侑己,m,0,15,6,6,0,0,266,28
木村　優太,m,1,6,0,1,0,0,32,5
黒沢　翔太,m,0,4,0,0,0,0,18,3
スタンリッジ,m,0,27,8,8,0,0,486,64
関谷　亮太,m,0,16,5,6,0,0,264,54
高野　圭佑,m,0,14,1,0,0,3,46,10
田中　靖洋,m,0,17,0,1,0,1,49,5
チェン・グァンユウ,m,1,7,1,1,0,0,74,11
東條　大樹,m,0,11,0,0,0,1,35,13
西野　勇士,m,0,42,3,6,21,8,129,16
藤岡　貴裕,m,1,32,1,1,0,7,127,12
二木　康太,m,0,22,7,9,0,0,349,69
古谷　拓哉,m,1,5,0,4,0,0,55,18
益田　直也,m,0,61,3,2,14,24,177,12
松永　昂大,m,1,53,3,0,0,13,117,15
南　昌輝,m,0,57,5,4,0,21,187,19
宮_　敦次,m,1,2,0,0,0,0,6,0
涌井　秀章,m,0,26,10,7,0,0,566,63
岩尾　利弘,l,0,2,0,0,0,0,9,3
ウルフ,l,0,4,4,0,0,0,71,8
大石　達也,l,0,36,1,0,0,4,95,6
岡本　篤志,l,0,4,0,0,0,0,8,2
岡本　洋介,l,0,4,0,0,0,0,14,10
郭　俊麟,l,0,12,0,3,0,0,67,21
菊池　雄星,l,1,22,12,7,0,0,429,41
岸　孝之,l,0,19,9,7,0,0,391,36
小石　博孝,l,1,50,0,2,1,2,224,31
國場　翼,l,0,2,0,0,0,0,9,0
佐藤　勇,l,1,7,1,3,0,0,75,16
佐野　泰雄,l,1,15,1,1,0,1,82,10
Ｃ．Ｃ．リー,l,0,18,0,0,0,1,50,12
_橋　光成,l,0,22,4,11,0,0,354,58
_橋　朋己,l,1,7,1,0,1,4,16,1
武隈　祥太,l,1,64,5,3,0,19,183,24
多和田　真三郎,l,0,18,7,5,0,0,296,48
十亀　剣,l,0,21,4,6,0,2,214,50
豊田　拓矢,l,0,6,0,0,0,0,18,1
中_　雄太,l,1,8,0,0,0,0,18,4
野上　亮磨,l,0,22,3,9,1,1,321,46
野田　昇吾,l,1,22,0,0,0,4,55,8
バスケス,l,0,19,0,0,0,6,49,10
バンヘッケン,l,1,10,0,4,0,0,137,32
藤原　良平,l,0,10,2,0,0,3,39,3
ポーリーノ,l,0,9,0,6,0,0,132,23
本田　圭佑,l,0,2,0,1,0,0,14,4
牧田　和久,l,0,50,7,1,0,32,236,14
誠,l,0,2,0,2,0,0,23,10
増田　達至,l,0,53,3,5,28,8,163,10
松本　直晃,l,0,2,0,0,0,0,8,0
南川　忠亮,l,0,4,0,0,0,0,12,1
相原　和友,e,1,2,0,0,0,0,3,5
青山　浩二,e,0,50,1,5,0,15,151,27
安樂　智大,e,0,15,3,5,0,0,253,32
石橋　良太,e,0,6,0,0,0,0,16,8
入野　貴大,e,0,4,0,0,0,0,11,5
大塚　尚仁,e,1,4,0,0,0,0,10,4
小野　郁,e,0,11,0,0,0,0,40,13
加藤　正志,e,0,1,0,0,0,0,3,2
金刃　憲人,e,1,54,3,1,0,17,125,11
釜田　佳直,e,0,20,7,5,0,0,339,52
辛島　航,e,1,13,3,7,0,0,216,31
川井　貴志,e,1,5,0,1,0,0,46,14
菊池　保則,e,0,7,1,1,0,0,68,13
金　無英,e,0,2,0,0,0,1,6,1
塩見　貴洋,e,1,24,8,10,0,0,444,64
戸村　健次,e,0,11,1,5,0,0,104,17
西宮　悠介,e,1,29,3,0,0,3,79,13
則本　昂大,e,0,28,11,11,0,0,585,63
長谷部　康平,e,1,2,0,0,0,0,7,3
濱矢　廣大,e,1,13,2,0,0,3,29,11
ブリガム,e,0,11,0,3,0,1,103,20
福山　博之,e,0,69,4,5,0,23,209,21
古川　侑利,e,0,6,0,0,0,0,21,6
松井　裕樹,e,1,58,1,4,30,11,187,23
ミコライオ,e,0,45,5,1,0,28,136,12
美馬　学,e,0,26,9,9,0,0,465,74
宮川　将,e,0,9,0,0,0,1,29,1
武藤　好貴,e,0,2,0,0,0,0,9,2
山内　壮馬,e,0,1,0,0,0,0,1,0
横山　貴明,e,0,19,0,0,0,2,55,13
リズ,e,0,5,0,3,0,1,35,9
レイ,e,0,4,0,2,0,0,52,14
青山　大紀,b,0,1,0,1,0,0,12,3
赤間　謙,b,0,24,0,1,0,1,105,12
大田　阿斗里,b,0,1,0,0,0,0,9,3
大山　暁史,b,1,3,0,0,0,0,13,1
海田　智行,b,1,50,1,3,0,16,136,14
角屋　龍太,b,0,2,0,0,0,0,7,3
金子　千尋,b,0,24,7,9,0,0,486,69
岸田　護,b,0,16,0,0,0,6,41,12
コーディエ,b,0,13,0,2,2,0,37,10
小松　聖,b,0,4,0,1,0,0,10,4
近藤　一樹,b,0,5,2,2,0,0,59,18
近藤　大亮,b,0,1,0,0,0,0,9,0
齋藤　綱記,b,1,1,0,0,0,0,12,4
佐藤　峻一,b,0,5,0,0,0,0,22,11
佐藤　達也,b,0,43,1,4,0,13,124,23
白仁田　寛和,b,0,7,0,0,0,0,18,7
鈴木　優,b,0,1,0,0,0,0,4,5
_木　伴,b,0,4,0,0,0,0,18,4
塚原　頌平,b,0,54,4,1,0,17,162,16
ディクソン,b,0,27,9,11,0,0,514,83
東明　大貴,b,0,24,1,10,0,1,366,67
西　勇輝,b,0,26,10,12,0,0,496,76
比嘉　幹貴,b,0,16,1,1,0,6,28,5
平野　佳寿,b,0,58,4,4,31,12,183,13
松葉　貴大,b,1,28,7,9,0,1,398,48
ミッシュ,b,1,3,0,1,0,0,16,5
八木　亮祐,b,1,1,0,0,0,0,12,2
山_　福也,b,1,17,3,2,0,0,184,25
山田　修義,b,1,12,2,7,0,0,175,32
吉田　一将,b,0,54,5,2,1,26,152,15
飯田　哲矢,c,1,2,0,0,0,0,10,0
一岡　竜司,c,0,27,1,1,0,6,74,5
今村　猛,c,0,67,3,4,2,25,221,20
江草　仁貴,c,1,8,0,0,0,1,27,6
オスカル,c,1,23,2,0,0,3,68,16
大瀬良　大地,c,0,17,3,1,0,7,65,8
岡田　明丈,c,0,18,4,3,0,1,268,30
小野　淳平,c,0,6,0,0,0,0,22,6
九里　亜蓮,c,0,27,2,2,0,1,240,40
黒田　博樹,c,0,24,10,8,0,0,455,52
佐藤　祥万,c,1,2,0,0,0,0,7,2
ジャクソン,c,0,67,5,4,0,42,205,13
ジョンソン,c,1,26,15,7,0,0,541,43
デラバー,c,0,2,0,0,0,0,6,0
戸田　隆矢,c,1,17,4,0,1,2,164,17
永川　勝浩,c,0,11,2,0,0,3,30,7
中_　翔太,c,0,61,3,4,34,10,184,9
中田　廉,c,0,8,1,1,0,2,13,8
中村　恭平,c,1,8,1,1,0,0,105,21
西原　圭大,c,0,2,0,0,0,0,15,7
野村　祐輔,c,0,25,16,3,0,0,458,46
久本　祐一,c,1,1,0,0,0,0,3,5
福井　優也,c,0,13,5,4,0,0,230,37
ヘーゲンズ,c,0,50,7,5,0,24,250,27
塹江　敦哉,c,1,3,0,1,0,0,19,8
薮田　和樹,c,0,16,3,1,0,1,93,9
横山　弘樹,c,0,6,2,2,0,0,79,16
乾　真大,g,1,2,0,0,0,0,7,0
今村　信貴,g,1,16,3,4,0,0,232,48
内海　哲也,g,1,18,9,6,0,0,322,47
江柄子　裕樹,g,0,2,0,1,0,0,26,7
大竹　寛,g,0,17,6,6,0,0,274,36
公文　克彦,g,1,12,0,0,0,0,35,5
小山　雄輝,g,0,9,0,1,0,1,39,7
桜井　俊貴,g,0,1,0,1,0,0,13,4
澤村　拓一,g,0,63,6,4,37,10,193,19
菅野　智之,g,0,26,9,6,0,0,550,41
平良　拳太郎,g,0,1,0,1,0,0,11,4
高木　勇人,g,0,25,5,9,0,0,351,56
田口　麗斗,g,1,26,10,10,0,0,486,49
田原　誠次,g,0,64,4,3,0,18,164,21
土田　瑞起,g,0,7,0,0,1,0,25,6
戸根　千明,g,1,42,1,0,1,6,108,18
中川　皓太,g,1,2,0,0,0,0,6,3
西村　健太朗,g,0,27,0,0,0,2,84,10
長谷川　潤,g,0,3,0,1,0,0,19,6
ポレダ,g,1,5,1,3,0,0,81,12
マイコラス,g,0,14,4,2,0,0,275,25
マシソン,g,0,70,8,4,1,49,240,21
宮國　椋丞,g,0,34,4,1,0,10,119,13
メンドーサ,g,0,3,0,0,0,0,12,5
矢貫　俊之,g,0,8,0,0,0,0,31,3
山口　鉄也,g,1,63,1,6,1,20,144,26
石田　健大,a,1,25,9,4,0,0,459,53
井納　翔一,a,0,23,7,11,0,0,455,59
今永　昇太,a,1,22,8,9,0,0,406,44
大原　慎司,a,1,16,0,0,0,1,38,7
長田　秀一郎,a,0,6,0,0,0,0,12,4
加賀　繁,a,0,26,0,0,0,6,50,10
国吉　佑樹,a,0,1,0,0,0,0,5,4
久保　康友,a,0,15,5,8,0,0,289,38
久保　裕也,a,0,9,0,0,0,0,36,7
熊原　健人,a,0,18,1,1,0,0,87,16
小杉　陽太,a,0,20,0,0,0,0,80,11
小林　寛,a,0,1,0,0,0,0,1,1
ザガースキー,a,1,32,3,1,0,6,98,18
須田　幸太,a,0,62,5,3,0,28,161,16
砂田　毅樹,a,1,17,2,2,0,1,157,22
田中　健二朗,a,1,61,5,3,0,28,132,12
野川　拓斗,a,1,6,0,0,0,0,21,2
平田　真吾,a,0,4,0,0,0,0,10,8
ブロードウェイ,a,0,5,0,0,0,0,18,3
福地　元春,a,1,6,0,1,0,0,20,9
藤岡　好明,a,0,9,0,1,0,2,24,1
ペトリック,a,0,15,3,2,0,0,142,29
三浦　大輔,a,0,3,0,3,0,0,44,18
三上　朋也,a,0,59,2,4,2,34,176,17
三嶋　一輝,a,0,4,1,1,0,0,72,10
モスコーソ,a,0,13,5,7,0,0,240,46
山口　俊,a,0,19,11,5,0,0,416,44
山_　康晃,a,0,59,2,5,33,9,173,23
青柳　晃洋,t,0,13,4,5,0,0,205,25
秋山　拓巳,t,0,8,1,1,0,0,60,9
安藤　優也,t,0,50,0,1,0,11,128,12
石崎　剛,t,0,10,0,0,0,3,32,2
伊藤　和雄,t,0,5,0,0,0,0,22,2
岩崎　優,t,1,16,3,5,0,0,223,30
岩貞　祐太,t,1,25,10,9,0,0,475,51
岩田　稔,t,1,6,0,3,0,0,61,20
榎田　大樹,t,1,35,1,1,0,4,119,19
金田　和之,t,0,6,1,0,0,1,18,4
サターホワイト,t,0,20,1,1,0,7,63,6
歳内　宏明,t,0,9,0,0,0,2,27,3
島本　浩也,t,1,23,1,0,0,3,74,10
_橋　聡文,t,1,54,3,1,0,23,115,16
高宮　和也,t,1,16,0,1,0,1,38,9
田面　巧二郎,t,0,4,0,1,0,1,13,3
筒井　和也,t,1,1,0,0,0,0,3,1
鶴　直人,t,0,2,0,0,0,0,7,2
ドリス,t,0,34,3,3,8,12,102,8
能見　篤史,t,1,26,8,12,0,1,442,60
福原　忍,t,0,9,0,0,0,4,16,3
藤川　球児,t,0,43,5,6,3,14,188,32
藤浪　晋太郎,t,0,26,7,11,0,0,507,61
マテオ,t,0,52,1,3,20,8,165,11
松田　遼馬,t,0,22,1,0,0,2,81,3
メッセンジャー,t,0,28,12,11,0,0,556,62
望月　惇志,t,0,1,0,0,0,0,3,0
守屋　功輝,t,0,4,0,1,0,0,25,8
山本　翔也,t,1,6,0,0,0,0,10,2
横山　雄哉,t,1,3,2,0,0,0,46,5
秋吉　亮,s,0,70,3,4,19,13,210,17
新垣　渚,s,0,6,1,2,0,0,89,22
石川　雅規,s,1,20,8,8,0,0,350,58
石山　泰稚,s,0,13,1,0,0,2,48,13
岩橋　慶侍,s,1,14,0,1,0,1,41,11
オンドルセク,s,0,30,3,1,11,5,88,8
小川　泰弘,s,0,25,8,9,0,0,474,79
風張　蓮,s,0,6,0,0,0,0,30,9
木谷　良平,s,0,1,0,0,0,0,2,2
久古　健太郎,s,1,39,0,0,1,3,79,13
近藤　一樹,s,0,8,0,0,0,0,34,4
杉浦　稔大,s,0,17,3,2,0,0,155,41
竹下　真吾,s,1,1,0,0,0,0,8,4
館山　昌平,s,0,10,1,4,0,1,138,37
デイビーズ,s,0,15,4,5,0,0,246,40
寺田　哲也,s,0,2,0,1,0,1,6,6
徳山　武陽,s,0,3,0,0,0,0,13,6
土肥　寛昌,s,0,4,0,0,0,0,16,5
中澤　雅人,s,1,19,1,0,0,1,61,8
中島　彰吾,s,0,3,0,0,0,0,9,2
成瀬　善久,s,1,22,3,2,0,0,217,45
原　樹理,s,0,13,2,8,0,0,201,44
平井　諒,s,0,33,1,1,0,8,96,10
古野　正人,s,0,6,0,2,0,0,40,14
ペレス,s,1,19,2,2,0,3,64,19
松岡　健一,s,0,53,2,1,0,6,166,23
村中　恭兵,s,1,52,7,3,0,12,201,29
八木　亮祐,s,1,1,0,1,0,0,9,4
山中　浩史,s,0,22,6,12,0,0,420,55
由規,s,0,5,2,3,0,0,77,13
ルーキ,s,0,69,6,6,0,39,194,22
阿知羅　拓馬,d,0,13,0,0,0,0,43,4
伊藤　準規,d,0,6,1,2,0,0,58,13
岩瀬　仁紀,d,1,15,0,2,0,2,31,7
岩田　慎司,d,0,1,0,0,0,0,1,0
大野　雄大,d,1,19,7,10,0,0,389,51
小笠原　慎之介,d,1,15,2,6,0,0,217,27
岡田　俊哉,d,1,57,3,1,0,16,194,23
小川　龍也,d,1,44,1,1,0,10,95,8
小熊　凌祐,d,0,14,5,2,0,1,164,17
金子　丈,d,0,1,0,0,0,0,3,2
佐藤　優,d,0,14,1,0,0,1,81,11
ジョーダン,d,1,22,6,6,0,0,363,57
セプティモ,d,1,3,0,1,0,0,19,3
祖父江　大輔,d,0,46,0,4,0,12,129,15
田島　慎二,d,0,59,3,4,17,21,177,16
ネイラー,d,0,7,1,2,0,0,111,19
バルデス,d,1,20,6,7,0,0,377,49
濱田　達郎,d,1,1,0,1,0,0,12,7
福　敬登,d,1,27,1,2,0,5,130,23
福谷　浩司,d,0,41,1,2,8,9,120,18
又吉　克樹,d,0,62,6,6,0,22,164,17
武藤　祐太,d,0,4,0,0,0,0,16,2
八木　智哉,d,1,1,0,0,0,0,18,1
山井　大介,d,0,33,1,8,0,8,191,32
雄太,d,1,1,0,0,0,0,1,0
吉見　一起,d,0,21,6,7,0,0,394,45
若松　駿太,d,0,19,7,8,0,1,346,52
